iter	Passed	Remaining
0	1	129
1	2	121
2	3	114
3	4	104
4	5	99
5	6	97
6	7	96
7	8	96
8	9	95
9	10	92
10	11	90
11	12	88
12	13	87
13	13	85
14	14	84
15	15	82
16	16	80
17	17	79
18	18	77
19	19	76
20	19	75
21	20	74
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	68
28	27	67
29	28	67
30	29	66
31	30	65
32	31	64
33	32	63
34	33	63
35	34	62
36	35	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	56
42	41	55
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	47
52	51	46
53	53	45
54	53	43
55	54	43
56	55	42
57	56	41
58	57	40
59	59	39
60	60	38
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	86	14
86	87	13
87	89	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
