iter	Passed	Remaining
0	145	144977
1	149	74550
2	153	50981
3	157	39279
4	161	32117
5	166	27623
6	169	24069
7	172	21403
8	175	19309
9	178	17664
10	180	16246
11	182	15045
12	184	14009
13	186	13124
14	187	12341
15	189	11677
16	191	11060
17	192	10511
18	194	10018
19	195	9572
20	196	9169
21	197	8792
22	198	8449
23	200	8136
24	201	7844
25	202	7575
26	203	7326
27	204	7095
28	205	6875
29	206	6671
30	207	6479
31	208	6299
32	209	6129
33	209	5966
34	210	5813
35	211	5669
36	212	5534
37	213	5404
38	214	5282
39	215	5165
40	215	5051
41	216	4945
42	217	4846
43	218	4749
44	219	4656
45	220	4568
46	221	4483
47	221	4402
48	222	4325
49	223	4249
50	224	4177
51	225	4108
52	226	4044
53	227	3981
54	228	3921
55	229	3861
56	229	3805
57	230	3750
58	231	3698
59	232	3646
60	233	3595
61	234	3548
62	235	3503
63	236	3460
64	237	3418
65	238	3376
66	239	3334
67	240	3295
68	241	3258
69	242	3222
70	243	3186
71	244	3151
72	245	3116
73	246	3084
74	247	3053
75	248	3022
76	249	2991
77	250	2961
78	251	2932
79	252	2903
80	253	2874
81	254	2846
82	254	2815
83	255	2789
84	256	2763
85	257	2740
86	258	2715
87	259	2692
88	260	2669
89	261	2647
90	262	2625
91	263	2604
92	264	2582
93	265	2561
94	266	2542
95	267	2522
96	268	2501
97	269	2481
98	270	2462
99	271	2444
100	272	2426
101	273	2409
102	274	2391
103	275	2376
104	276	2358
105	277	2343
106	278	2326
107	279	2310
108	280	2295
109	281	2280
110	282	2264
111	283	2249
112	284	2234
113	285	2220
114	286	2207
115	287	2193
116	288	2178
117	289	2165
118	290	2152
119	291	2139
120	292	2126
121	293	2113
122	294	2101
123	295	2089
124	296	2077
125	297	2065
126	298	2052
127	299	2040
128	300	2030
129	301	2019
130	302	2008
131	303	1998
132	304	1987
133	306	1977
134	307	1967
135	308	1957
136	309	1946
137	310	1936
138	311	1927
139	312	1917
140	313	1907
141	313	1895
142	314	1886
143	315	1877
144	316	1868
145	317	1859
146	318	1850
147	320	1842
148	321	1833
149	322	1825
150	323	1816
151	324	1807
152	325	1799
153	326	1791
154	327	1783
155	328	1774
156	329	1766
157	330	1759
158	331	1751
159	332	1743
160	332	1734
161	333	1727
162	335	1720
163	336	1713
164	337	1706
165	338	1699
166	339	1692
167	340	1685
168	341	1678
169	342	1671
170	343	1664
171	344	1657
172	345	1651
173	346	1645
174	347	1638
175	348	1632
176	349	1626
177	350	1619
178	351	1613
179	352	1607
180	353	1601
181	354	1594
182	355	1588
183	356	1582
184	357	1576
185	358	1569
186	359	1563
187	360	1558
188	361	1552
189	362	1546
